label,radius_um,intersections
107,0.0,0
107,5.0,4
107,10.0,2
107,15.0,0
107,20.0,0
107,25.0,0
107,30.0,0
107,35.0,0
107,40.0,0
123,0.0,0
123,5.0,2
123,10.0,2
123,15.0,1
123,20.0,0
123,25.0,0
123,30.0,0
123,35.0,0
123,40.0,0
124,0.0,0
124,5.0,5
124,10.0,1
124,15.0,0
124,20.0,0
124,25.0,0
124,30.0,0
124,35.0,0
124,40.0,0
125,0.0,0
125,5.0,3
125,10.0,3
125,15.0,4
125,20.0,0
125,25.0,0
125,30.0,0
125,35.0,0
125,40.0,0
127,0.0,0
127,5.0,4
127,10.0,5
127,15.0,3
127,20.0,3
127,25.0,3
127,30.0,0
127,35.0,0
127,40.0,0
128,0.0,0
128,5.0,2
128,10.0,1
128,15.0,0
128,20.0,0
128,25.0,0
128,30.0,0
128,35.0,0
128,40.0,0
133,0.0,0
133,5.0,2
133,10.0,2
133,15.0,0
133,20.0,0
133,25.0,0
133,30.0,0
133,35.0,0
133,40.0,0
134,0.0,0
134,5.0,5
134,10.0,2
134,15.0,1
134,20.0,2
134,25.0,0
134,30.0,0
134,35.0,0
134,40.0,0
136,0.0,0
136,5.0,2
136,10.0,2
136,15.0,0
136,20.0,0
136,25.0,0
136,30.0,0
136,35.0,0
136,40.0,0
137,0.0,0
137,5.0,1
137,10.0,0
137,15.0,0
137,20.0,0
137,25.0,0
137,30.0,0
137,35.0,0
137,40.0,0
138,0.0,0
138,5.0,2
138,10.0,1
138,15.0,0
138,20.0,0
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
139,0.0,0
139,5.0,1
139,10.0,0
139,15.0,0
139,20.0,0
139,25.0,0
139,30.0,0
139,35.0,0
139,40.0,0
140,0.0,0
140,5.0,2
140,10.0,0
140,15.0,0
140,20.0,0
140,25.0,0
140,30.0,0
140,35.0,0
140,40.0,0
142,0.0,0
142,5.0,3
142,10.0,1
142,15.0,0
142,20.0,0
142,25.0,0
142,30.0,0
142,35.0,0
142,40.0,0
143,0.0,0
143,5.0,4
143,10.0,2
143,15.0,0
143,20.0,0
143,25.0,0
143,30.0,0
143,35.0,0
143,40.0,0
144,0.0,0
144,5.0,3
144,10.0,2
144,15.0,0
144,20.0,0
144,25.0,0
144,30.0,0
144,35.0,0
144,40.0,0
145,0.0,0
145,5.0,2
145,10.0,0
145,15.0,0
145,20.0,0
145,25.0,0
145,30.0,0
145,35.0,0
145,40.0,0
146,0.0,0
146,5.0,6
146,10.0,2
146,15.0,1
146,20.0,0
146,25.0,0
146,30.0,0
146,35.0,0
146,40.0,0
147,0.0,0
147,5.0,0
147,10.0,0
147,15.0,0
147,20.0,0
147,25.0,0
147,30.0,0
147,35.0,0
147,40.0,0
148,0.0,0
148,5.0,4
148,10.0,1
148,15.0,0
148,20.0,0
148,25.0,0
148,30.0,0
148,35.0,0
148,40.0,0
153,0.0,0
153,5.0,3
153,10.0,1
153,15.0,0
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
177,0.0,0
177,5.0,1
177,10.0,1
177,15.0,0
177,20.0,0
177,25.0,0
177,30.0,0
177,35.0,0
177,40.0,0
179,0.0,0
179,5.0,6
179,10.0,3
179,15.0,1
179,20.0,0
179,25.0,0
179,30.0,0
179,35.0,0
179,40.0,0
202,0.0,0
202,5.0,2
202,10.0,0
202,15.0,0
202,20.0,0
202,25.0,0
202,30.0,0
202,35.0,0
202,40.0,0
204,0.0,0
204,5.0,4
204,10.0,2
204,15.0,0
204,20.0,0
204,25.0,0
204,30.0,0
204,35.0,0
204,40.0,0
205,0.0,0
205,5.0,3
205,10.0,4
205,15.0,3
205,20.0,1
205,25.0,0
205,30.0,0
205,35.0,0
205,40.0,0
207,0.0,0
207,5.0,3
207,10.0,0
207,15.0,0
207,20.0,0
207,25.0,0
207,30.0,0
207,35.0,0
207,40.0,0
213,0.0,0
213,5.0,4
213,10.0,0
213,15.0,0
213,20.0,0
213,25.0,0
213,30.0,0
213,35.0,0
213,40.0,0
214,0.0,0
214,5.0,3
214,10.0,3
214,15.0,0
214,20.0,0
214,25.0,0
214,30.0,0
214,35.0,0
214,40.0,0
215,0.0,0
215,5.0,2
215,10.0,1
215,15.0,0
215,20.0,0
215,25.0,0
215,30.0,0
215,35.0,0
215,40.0,0
216,0.0,0
216,5.0,3
216,10.0,1
216,15.0,0
216,20.0,0
216,25.0,0
216,30.0,0
216,35.0,0
216,40.0,0
236,0.0,0
236,5.0,3
236,10.0,6
236,15.0,2
236,20.0,1
236,25.0,0
236,30.0,0
236,35.0,0
236,40.0,0
237,0.0,0
237,5.0,2
237,10.0,0
237,15.0,0
237,20.0,0
237,25.0,0
237,30.0,0
237,35.0,0
237,40.0,0
